query,page,clicks,impressions,ctr,position
ai search optimization,https://sample-agency.example/services/ai-search-optimization,38,4150,0.92%,9.6
what is ai search optimization,https://sample-agency.example/services/ai-search-optimization,12,1980,0.61%,11.2
geo generative engine optimization,https://sample-agency.example/blog/what-is-geo,25,2640,0.95%,8.4
ai search optimization คืออะไร,https://sample-agency.example/services/ai-search-optimization,9,1320,0.68%,12.8
seo vs ai search,https://sample-agency.example/blog/seo-vs-ai-search,31,1480,2.09%,7.3
how to get cited by ai search engines,https://sample-agency.example/blog/ai-citations,6,940,0.64%,14.5
answer engine optimization agency,https://sample-agency.example/services/ai-search-optimization,4,720,0.56%,18.2
ai search agency thailand,https://sample-agency.example/services/ai-search-optimization,22,610,3.61%,5.1
ทำเว็บให้ติด ai search,https://sample-agency.example/services/ai-search-optimization,3,540,0.56%,16.9
schema markup ai search,https://sample-agency.example/blog/schema-for-ai-search,8,860,0.93%,10.7
how does ai search choose sources,https://sample-agency.example/blog/ai-citations,2,430,0.47%,19.4
ai visibility audit,https://sample-agency.example/services/ai-search-optimization,5,380,1.32%,9.9
geo คืออะไร,https://sample-agency.example/blog/what-is-geo,11,1150,0.96%,9.1
ai search optimization pricing,https://sample-agency.example/blog/what-is-geo,1,310,0.32%,22.6
sample digital agency,https://sample-agency.example/,86,420,20.48%,1.2
ai overview optimization,https://sample-agency.example/blog/ai-overviews,7,1240,0.56%,13.3
why is my site not cited by chatgpt,https://sample-agency.example/blog/ai-citations,3,510,0.59%,15.8
llm seo,https://sample-agency.example/services/ai-search-optimization,14,2230,0.63%,12.1
content optimization for ai,https://sample-agency.example/blog/content-for-ai,9,780,1.15%,8.8
ai search readiness checklist,https://sample-agency.example/blog/checklist,4,290,1.38%,6.9
digital marketing agency bangkok,https://sample-agency.example/,18,3480,0.52%,24.7
วิธีทำ geo ให้เว็บไซต์,https://sample-agency.example/blog/what-is-geo,5,460,1.09%,10.4
brand mentions ai search,https://sample-agency.example/blog/brand-mentions,2,350,0.57%,17.6
measure ai search visibility,https://sample-agency.example/blog/measure-ai-visibility,6,520,1.15%,9.3
faq schema for ai,https://sample-agency.example/blog/schema-for-ai-search,3,410,0.73%,11.9
best ai search optimization tools,https://sample-agency.example/blog/aiso-tools,10,1870,0.53%,13.7
does schema help ai search,https://sample-agency.example/blog/schema-for-ai-search,4,620,0.65%,9.8
seo agency thailand,https://sample-agency.example/services/seo,29,5840,0.50%,15.2
ai search optimization case study,https://sample-agency.example/services/ai-search-optimization,2,330,0.61%,18.8
answer engine optimization คืออะไร,https://sample-agency.example/blog/what-is-geo,6,540,1.11%,10.9
